controller,ood,violation_rate,firm_coverage,shortfall_kwh,service
BGFC,False,0.0,0.7916666666666666,40.784414804721905,0.8858701150751737
BGFC,True,0.008333333333333333,0.3,154.76746512946323,0.8193978111920431
BGFC-dynamic,False,0.0,0.7916666666666666,40.784414804721905,0.8860169050665125
BGFC-dynamic,True,0.013541666666666665,0.3,154.76746512946323,0.8475555202806578
Nominal engineering,False,0.0,0.002777777777777778,600.1951023762068,0.8513664864700726
Nominal engineering,True,0.00625,0.0,919.9808538382509,0.764798344522971
Point bunching,False,0.0,0.5333333333333333,133.97270889366516,0.881093189176058
Point bunching,True,0.007291666666666666,0.0,365.72488323200474,0.8118386756183767
Robust engineering,False,0.0,0.3138888888888889,236.59826869911788,0.9227105729644377
Robust engineering,True,0.013541666666666665,0.0,526.4591147078161,0.8776951391519449
Uncontrolled,False,0.0004629629629629629,,0.0,1.0
Uncontrolled,True,0.025,,0.0,1.0
